"Country or Area","Year","Area","Sex","Age","Marital status","Record Type","Reliability","Source Year","Value","Value Footnotes"
"China","2010","Total","Male","35 - 39","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","140813","1,2"
"China","2010","Total","Male","40 - 44","Total","Census - de jure - complete tabulation","Final figure, complete","2012","5994835","1,2"
"China","2010","Total","Male","40 - 44","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","248967","1,2"
"China","2010","Total","Male","40 - 44","Married","Census - de jure - complete tabulation","Final figure, complete","2012","5545450","1,2"
"China","2010","Total","Male","40 - 44","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","45387","1,2"
"China","2010","Total","Male","40 - 44","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","155031","1,2"
"China","2010","Total","Male","45 - 49","Total","Census - de jure - complete tabulation","Final figure, complete","2012","5118861","1,2"
"China","2010","Total","Male","45 - 49","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","159785","1,2"
"China","2010","Total","Male","45 - 49","Married","Census - de jure - complete tabulation","Final figure, complete","2012","4765640","1,2"
"China","2010","Total","Male","45 - 49","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","63508","1,2"
"China","2010","Total","Male","45 - 49","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","129928","1,2"
"China","2010","Total","Male","50 - 54","Total","Census - de jure - complete tabulation","Final figure, complete","2012","3891177","1,2"
"China","2010","Total","Male","50 - 54","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","124905","1,2"
"China","2010","Total","Male","50 - 54","Married","Census - de jure - complete tabulation","Final figure, complete","2012","3583991","1,2"
"China","2010","Total","Male","50 - 54","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","94097","1,2"
"China","2010","Total","Male","50 - 54","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","88184","1,2"
"China","2010","Total","Male","55 - 59","Total","Census - de jure - complete tabulation","Final figure, complete","2012","4019336","1,2"
"China","2010","Total","Male","55 - 59","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","137837","1,2"
"China","2010","Total","Male","55 - 59","Married","Census - de jure - complete tabulation","Final figure, complete","2012","3651848","1,2"
"China","2010","Total","Male","55 - 59","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","163408","1,2"
"China","2010","Total","Male","55 - 59","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","66243","1,2"
"China","2010","Total","Male","60 - 64","Total","Census - de jure - complete tabulation","Final figure, complete","2012","2948425","1,2"
"China","2010","Total","Male","60 - 64","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","104499","1,2"
"China","2010","Total","Male","60 - 64","Married","Census - de jure - complete tabulation","Final figure, complete","2012","2598115","1,2"
"China","2010","Total","Male","60 - 64","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","208915","1,2"
"China","2010","Total","Male","60 - 64","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","36896","1,2"
"China","2010","Total","Male","65 +","Total","Census - de jure - complete tabulation","Final figure, complete","2012","5659255","1,2"
"China","2010","Total","Male","65 +","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","176120","1,2"
"China","2010","Total","Male","65 +","Married","Census - de jure - complete tabulation","Final figure, complete","2012","4241653","1,2"
"China","2010","Total","Male","65 +","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","1194178","1,2"
"China","2010","Total","Male","65 +","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","47304","1,2"
"China","2010","Total","Female","15 - 19","Total","Census - de jure - complete tabulation","Final figure, complete","2012","4408116","1,2"
"China","2010","Total","Female","15 - 19","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","4315197","1,2"
"China","2010","Total","Female","15 - 19","Married","Census - de jure - complete tabulation","Final figure, complete","2012","92133","1,2"
"China","2010","Total","Female","15 - 19","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","88","1,2"
"China","2010","Total","Female","15 - 19","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","698","1,2"
"China","2010","Total","Female","15 +","Total","Census - de jure - complete tabulation","Final figure, complete","2012","52598793","1,2"
"China","2010","Total","Female","15 +","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","9720483","1,2"
"China","2010","Total","Female","15 +","Married","Census - de jure - complete tabulation","Final figure, complete","2012","38032850","1,2"
"China","2010","Total","Female","15 +","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","4203541","1,2"
"China","2010","Total","Female","15 +","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","641919","1,2"
"China","2010","Total","Female","20 - 24","Total","Census - de jure - complete tabulation","Final figure, complete","2012","5832745","1,2"
"China","2010","Total","Female","20 - 24","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","3939844","1,2"
"China","2010","Total","Female","20 - 24","Married","Census - de jure - complete tabulation","Final figure, complete","2012","1877942","1,2"
"China","2010","Total","Female","20 - 24","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","2011","1,2"
"China","2010","Total","Female","20 - 24","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","12948","1,2"
"China","2010","Total","Female","25 - 29","Total","Census - de jure - complete tabulation","Final figure, complete","2012","4666287","1,2"
"China","2010","Total","Female","25 - 29","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","1008889","1,2"
"China","2010","Total","Female","25 - 29","Married","Census - de jure - complete tabulation","Final figure, complete","2012","3609613","1,2"
"China","2010","Total","Female","25 - 29","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","6529","1,2"
"China","2010","Total","Female","25 - 29","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","41256","1,2"
"China","2010","Total","Female","30 - 34","Total","Census - de jure - complete tabulation","Final figure, complete","2012","4467437","1,2"
"China","2010","Total","Female","30 - 34","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","239225","1,2"
"China","2010","Total","Female","30 - 34","Married","Census - de jure - complete tabulation","Final figure, complete","2012","4135968","1,2"
"China","2010","Total","Female","30 - 34","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","16043","1,2"
"China","2010","Total","Female","30 - 34","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","76201","1,2"
"China","2010","Total","Female","35 - 39","Total","Census - de jure - complete tabulation","Final figure, complete","2012","5486262","1,2"
"China","2010","Total","Female","35 - 39","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","96336","1,2"
"China","2010","Total","Female","35 - 39","Married","Census - de jure - complete tabulation","Final figure, complete","2012","5235744","1,2"
"China","2010","Total","Female","35 - 39","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","40537","1,2"
"China","2010","Total","Female","35 - 39","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","113645","1,2"
"China","2010","Total","Female","40 - 44","Total","Census - de jure - complete tabulation","Final figure, complete","2012","5886276","1,2"
"China","2010","Total","Female","40 - 44","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","44316","1,2"
"China","2010","Total","Female","40 - 44","Married","Census - de jure - complete tabulation","Final figure, complete","2012","5630784","1,2"
"China","2010","Total","Female","40 - 44","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","89420","1,2"
"China","2010","Total","Female","40 - 44","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","121756","1,2"
"China","2010","Total","Female","45 - 49","Total","Census - de jure - complete tabulation","Final figure, complete","2012","5040971","1,2"
"China","2010","Total","Female","45 - 49","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","22393","1,2"
"China","2010","Total","Female","45 - 49","Married","Census - de jure - complete tabulation","Final figure, complete","2012","4767698","1,2"
"China","2010","Total","Female","45 - 49","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","143036","1,2"
"China","2010","Total","Female","45 - 49","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","107844","1,2"
"China","2010","Total","Female","50 - 54","Total","Census - de jure - complete tabulation","Final figure, complete","2012","3767599","1,2"
"China","2010","Total","Female","50 - 54","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","11427","1,2"
"China","2010","Total","Female","50 - 54","Married","Census - de jure - complete tabulation","Final figure, complete","2012","3485767","1,2"
"China","2010","Total","Female","50 - 54","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","203374","1,2"
"China","2010","Total","Female","50 - 54","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","67031","1,2"
"China","2010","Total","Female","55 - 59","Total","Census - de jure - complete tabulation","Final figure, complete","2012","3992078","1,2"
"China","2010","Total","Female","55 - 59","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","9792","1,2"
"China","2010","Total","Female","55 - 59","Married","Census - de jure - complete tabulation","Final figure, complete","2012","3577944","1,2"
"China","2010","Total","Female","55 - 59","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","357679","1,2"
"China","2010","Total","Female","55 - 59","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","46663","1,2"
"China","2010","Total","Female","60 - 64","Total","Census - de jure - complete tabulation","Final figure, complete","2012","2883609","1,2"
"China","2010","Total","Female","60 - 64","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","6962","1,2"
"China","2010","Total","Female","60 - 64","Married","Census - de jure - complete tabulation","Final figure, complete","2012","2390511","1,2"
"China","2010","Total","Female","60 - 64","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","463758","1,2"
"China","2010","Total","Female","60 - 64","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","22378","1,2"
"China","2010","Total","Female","65 +","Total","Census - de jure - complete tabulation","Final figure, complete","2012","6167413","1,2"
"China","2010","Total","Female","65 +","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","26102","1,2"
"China","2010","Total","Female","65 +","Married","Census - de jure - complete tabulation","Final figure, complete","2012","3228746","1,2"
"China","2010","Total","Female","65 +","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","2881066","1,2"
"China","2010","Total","Female","65 +","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","31499","1,2"
"China","2010","Urban","Male","15 - 19","Total","Census - de jure - complete tabulation","Final figure, complete","2012","2445215","1,2"
"China","2010","Urban","Male","15 - 19","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","2436866","1,2"
"China","2010","Urban","Male","15 - 19","Married","Census - de jure - complete tabulation","Final figure, complete","2012","8304","1,2"
"China","2010","Urban","Male","15 - 19","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","9","1,2"
"China","2010","Urban","Male","15 - 19","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","36","1,2"
"China","2010","Urban","Male","15 +","Total","Census - de jure - complete tabulation","Final figure, complete","2012","26735753","1,2"
"China","2010","Urban","Male","15 +","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","6953061","1,2"
"China","2010","Urban","Male","15 +","Married","Census - de jure - complete tabulation","Final figure, complete","2012","18739751","1,2"
"China","2010","Urban","Male","15 +","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","601280","1,2"
"China","2010","Urban","Male","15 +","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","441661","1,2"
"China","2010","Urban","Male","20 - 24","Total","Census - de jure - complete tabulation","Final figure, complete","2012","3171042","1,2"
"China","2010","Urban","Male","20 - 24","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","2759266","1,2"
"China","2010","Urban","Male","20 - 24","Married","Census - de jure - complete tabulation","Final figure, complete","2012","409025","1,2"
"China","2010","Urban","Male","20 - 24","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","169","1,2"
"China","2010","Urban","Male","20 - 24","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","2582","1,2"
"China","2010","Urban","Male","25 - 29","Total","Census - de jure - complete tabulation","Final figure, complete","2012","2584741","1,2"
"China","2010","Urban","Male","25 - 29","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","1043115","1,2"
"China","2010","Urban","Male","25 - 29","Married","Census - de jure - complete tabulation","Final figure, complete","2012","1523517","1,2"
"China","2010","Urban","Male","25 - 29","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","716","1,2"
"China","2010","Urban","Male","25 - 29","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","17393","1,2"
"China","2010","Urban","Male","30 - 34","Total","Census - de jure - complete tabulation","Final figure, complete","2012","2564190","1,2"
"China","2010","Urban","Male","30 - 34","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","303134","1,2"
"China","2010","Urban","Male","30 - 34","Married","Census - de jure - complete tabulation","Final figure, complete","2012","2214093","1,2"
"China","2010","Urban","Male","30 - 34","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","1986","1,2"
"China","2010","Urban","Male","30 - 34","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","44977","1,2"
"China","2010","Urban","Male","35 - 39","Total","Census - de jure - complete tabulation","Final figure, complete","2012","3049170","1,2"
"China","2010","Urban","Male","35 - 39","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","149499","1,2"
"China","2010","Urban","Male","35 - 39","Married","Census - de jure - complete tabulation","Final figure, complete","2012","2819378","1,2"
"China","2010","Urban","Male","35 - 39","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","5415","1,2"
"China","2010","Urban","Male","35 - 39","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","74878","1,2"
"China","2010","Urban","Male","40 - 44","Total","Census - de jure - complete tabulation","Final figure, complete","2012","3030356","1,2"
"China","2010","Urban","Male","40 - 44","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","85139","1,2"
"China","2010","Urban","Male","40 - 44","Married","Census - de jure - complete tabulation","Final figure, complete","2012","2845701","1,2"
"China","2010","Urban","Male","40 - 44","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","11904","1,2"
"China","2010","Urban","Male","40 - 44","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","87612","1,2"
"China","2010","Urban","Male","45 - 49","Total","Census - de jure - complete tabulation","Final figure, complete","2012","2576352","1,2"
"China","2010","Urban","Male","45 - 49","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","50741","1,2"
"China","2010","Urban","Male","45 - 49","Married","Census - de jure - complete tabulation","Final figure, complete","2012","2426109","1,2"
"China","2010","Urban","Male","45 - 49","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","18132","1,2"
"China","2010","Urban","Male","45 - 49","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","81370","1,2"
"China","2010","Urban","Male","50 - 54","Total","Census - de jure - complete tabulation","Final figure, complete","2012","1887150","1,2"
"China","2010","Urban","Male","50 - 54","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","33613","1,2"
"China","2010","Urban","Male","50 - 54","Married","Census - de jure - complete tabulation","Final figure, complete","2012","1767633","1,2"
"China","2010","Urban","Male","50 - 54","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","29740","1,2"
"China","2010","Urban","Male","50 - 54","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","56164","1,2"
"China","2010","Urban","Male","55 - 59","Total","Census - de jure - complete tabulation","Final figure, complete","2012","1777312","1,2"
"China","2010","Urban","Male","55 - 59","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","30594","1,2"
"China","2010","Urban","Male","55 - 59","Married","Census - de jure - complete tabulation","Final figure, complete","2012","1658956","1,2"
"China","2010","Urban","Male","55 - 59","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","50568","1,2"
"China","2010","Urban","Male","55 - 59","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","37194","1,2"
"China","2010","Urban","Male","60 - 64","Total","Census - de jure - complete tabulation","Final figure, complete","2012","1251849","1,2"
"China","2010","Urban","Male","60 - 64","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","21926","1,2"
"China","2010","Urban","Male","60 - 64","Married","Census - de jure - complete tabulation","Final figure, complete","2012","1143442","1,2"
"China","2010","Urban","Male","60 - 64","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","67969","1,2"
"China","2010","Urban","Male","60 - 64","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","18512","1,2"
"China","2010","Urban","Male","65 +","Total","Census - de jure - complete tabulation","Final figure, complete","2012","2398376","1,2"
"China","2010","Urban","Male","65 +","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","39168","1,2"
"China","2010","Urban","Male","65 +","Married","Census - de jure - complete tabulation","Final figure, complete","2012","1923593","1,2"
"China","2010","Urban","Male","65 +","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","414672","1,2"
"China","2010","Urban","Male","65 +","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","20943","1,2"
"China","2010","Urban","Female","15 - 19","Total","Census - de jure - complete tabulation","Final figure, complete","2012","2305022","1,2"
"China","2010","Urban","Female","15 - 19","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","2278123","1,2"
"China","2010","Urban","Female","15 - 19","Married","Census - de jure - complete tabulation","Final figure, complete","2012","26776","1,2"
"China","2010","Urban","Female","15 - 19","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","20","1,2"
"China","2010","Urban","Female","15 - 19","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","103","1,2"
"China","2010","Urban","Female","15 +","Total","Census - de jure - complete tabulation","Final figure, complete","2012","26655049","1,2"
"China","2010","Urban","Female","15 +","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","5626329","1,2"
"China","2010","Urban","Female","15 +","Married","Census - de jure - complete tabulation","Final figure, complete","2012","18808963","1,2"
"China","2010","Urban","Female","15 +","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","1730192","1,2"
"China","2010","Urban","Female","15 +","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","489565","1,2"
"China","2010","Urban","Female","20 - 24","Total","Census - de jure - complete tabulation","Final figure, complete","2012","3172841","1,2"
"China","2010","Urban","Female","20 - 24","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","2385260","1,2"
"China","2010","Urban","Female","20 - 24","Married","Census - de jure - complete tabulation","Final figure, complete","2012","783148","1,2"
"China","2010","Urban","Female","20 - 24","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","532","1,2"
"China","2010","Urban","Female","20 - 24","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","3901","1,2"
"China","2010","Urban","Female","25 - 29","Total","Census - de jure - complete tabulation","Final figure, complete","2012","2653922","1,2"
"China","2010","Urban","Female","25 - 29","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","671947","1,2"
"China","2010","Urban","Female","25 - 29","Married","Census - de jure - complete tabulation","Final figure, complete","2012","1958787","1,2"
"China","2010","Urban","Female","25 - 29","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","2252","1,2"
"China","2010","Urban","Female","25 - 29","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","20936","1,2"
"China","2010","Urban","Female","30 - 34","Total","Census - de jure - complete tabulation","Final figure, complete","2012","2571125","1,2"
"China","2010","Urban","Female","30 - 34","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","155404","1,2"
"China","2010","Urban","Female","30 - 34","Married","Census - de jure - complete tabulation","Final figure, complete","2012","2357450","1,2"
"China","2010","Urban","Female","30 - 34","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","6613","1,2"
"China","2010","Urban","Female","30 - 34","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","51658","1,2"
"China","2010","Urban","Female","35 - 39","Total","Census - de jure - complete tabulation","Final figure, complete","2012","2980264","1,2"
"China","2010","Urban","Female","35 - 39","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","63171","1,2"
"China","2010","Urban","Female","35 - 39","Married","Census - de jure - complete tabulation","Final figure, complete","2012","2810844","1,2"
"China","2010","Urban","Female","35 - 39","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","17313","1,2"
"China","2010","Urban","Female","35 - 39","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","88936","1,2"
"China","2010","Urban","Female","40 - 44","Total","Census - de jure - complete tabulation","Final figure, complete","2012","2929749","1,2"
"China","2010","Urban","Female","40 - 44","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","29309","1,2"
"China","2010","Urban","Female","40 - 44","Married","Census - de jure - complete tabulation","Final figure, complete","2012","2763079","1,2"
"China","2010","Urban","Female","40 - 44","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","37008","1,2"
"China","2010","Urban","Female","40 - 44","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","100353","1,2"
"China","2010","Urban","Female","45 - 49","Total","Census - de jure - complete tabulation","Final figure, complete","2012","2472857","1,2"
"China","2010","Urban","Female","45 - 49","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","15345","1,2"
"China","2010","Urban","Female","45 - 49","Married","Census - de jure - complete tabulation","Final figure, complete","2012","2303448","1,2"
"China","2010","Urban","Female","45 - 49","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","61136","1,2"
"China","2010","Urban","Female","45 - 49","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","92928","1,2"
"China","2010","Urban","Female","50 - 54","Total","Census - de jure - complete tabulation","Final figure, complete","2012","1833187","1,2"
"China","2010","Urban","Female","50 - 54","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","7901","1,2"
"China","2010","Urban","Female","50 - 54","Married","Census - de jure - complete tabulation","Final figure, complete","2012","1675649","1,2"
"China","2010","Urban","Female","50 - 54","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","91106","1,2"
"China","2010","Urban","Female","50 - 54","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","58531","1,2"
"China","2010","Urban","Female","55 - 59","Total","Census - de jure - complete tabulation","Final figure, complete","2012","1815563","1,2"
"China","2010","Urban","Female","55 - 59","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","6273","1,2"
"China","2010","Urban","Female","55 - 59","Married","Census - de jure - complete tabulation","Final figure, complete","2012","1618988","1,2"
"China","2010","Urban","Female","55 - 59","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","152131","1,2"
"China","2010","Urban","Female","55 - 59","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","38171","1,2"
"China","2010","Urban","Female","60 - 64","Total","Census - de jure - complete tabulation","Final figure, complete","2012","1270427","1,2"
"China","2010","Urban","Female","60 - 64","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","3732","1,2"
"China","2010","Urban","Female","60 - 64","Married","Census - de jure - complete tabulation","Final figure, complete","2012","1058941","1,2"
"China","2010","Urban","Female","60 - 64","Widowed and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","191430","1,2"
"China","2010","Urban","Female","60 - 64","Divorced and not remarried","Census - de jure - complete tabulation","Final figure, complete","2012","16324","1,2"
"China","2010","Urban","Female","65 +","Total","Census - de jure - complete tabulation","Final figure, complete","2012","2650092","1,2"
"China","2010","Urban","Female","65 +","Single (never married)","Census - de jure - complete tabulation","Final figure, complete","2012","9864","1,2"
"China","2010","Urban","Female","65 +","Married","Census - de jure - complete tabulation","Final figure, complete","2012","1451853","1,2"
